epoch,gen_loss,disc_loss
1,4.474575657368926,0.33363435945242564
2,3.256590860274137,0.5854301745324488
3,1.7844153987172315,0.8756791136758711
4,1.2437048714484096,1.077185745434383
5,1.2758204467461238,0.9879194879166001
6,1.714832510789642,0.8752233793058664
7,1.2686818310671755,1.0569025610414002
8,1.300872724684303,1.0396218848655292
9,1.696078951706362,0.8709003419217551
10,2.180243528712436,0.7286661835887548
11,2.2387757752557547,0.6553806002487612
12,1.5423999210757673,0.9176893307424873
13,1.7589086352101981,0.8127875364649936
14,1.801052552050032,0.7985151442115569
15,1.974029462965553,0.8171855019181585
16,1.6831379375799234,0.874393004590593
17,2.2203208357476822,0.7241490356757513
18,1.735449905590633,0.7958254606827445
19,2.264059471657209,0.7197398310122283
20,2.3612407089194374,0.7066397508391944
21,1.864745157149137,0.8073049091622043
22,2.080008036035406,0.7239265149206762
23,2.0252520080722505,0.719914194872922
24,2.2172158477861252,0.6860144729809383
25,2.1977117592111575,0.6798278340293319
26,2.2019892153532608,0.6291727519706082
27,2.4709873833619724,0.6847205588884671
28,2.3014351535026374,0.6920703780620604
29,2.270137230758472,0.5649919436715752
30,2.831162084398977,0.521181462670836
31,3.059612147338555,0.47857502110473943
32,2.917126433623721,0.525633711949029
33,2.69061763207321,0.6003908123201727
34,2.7267239075487533,0.5015627575652374
35,2.856255806925352,0.508820711804168
36,3.3980051026015023,0.45249759449678306
37,3.6114270924912084,0.4388028508257073
38,3.0988660261149295,0.4615205730623601
39,3.134149341632033,0.44602404348075847
40,3.2147947345548276,0.45266427042539165
41,2.966056335917519,0.4681096772098785
42,3.1722202935182224,0.46075724335887547
43,3.253974309662724,0.4520062692939778
44,3.0251293133591752,0.44718644320202605
45,3.029113613431106,0.46464620526794276
46,3.26300251758312,0.4610268673323609
47,2.971443351882193,0.47187133945162646
48,3.062313304227941,0.440924759106258
49,3.300597364030531,0.4450136462745764
50,3.242177197390505,0.3815932798263667
